title,link
"서산소방서, 고층화재 대비 '사다리차 진압 훈련'실시",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=843273
"금산소방서, 이동식 방수총 훈련 실시",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=843276
"SH, 호주 수상버스 현장 시찰..&quot;9월 한강버스 정식 운항&quot;",http://www.4th.kr/news/articleView.html?idxno=2092432
"삼표, 집중호우 피해지역 주민 위해 성금 1억원 기부",https://news.mtn.co.kr/news-detail/2025080711125644402
"SH, 수상버스 '시티캣' 벤치마킹 위해 호주 방문",https://www.news2day.co.kr/article/20250807500118
"재가장애인, 화재발생시 자력대피할 수 있는 교육프로그램 실시",https://www.welfarenews.net/news/articleView.html?idxno=200164
"홍성군, 특별재난지역 지정...피해 복구에 '총력'",https://weekly.hankooki.com/news/articleView.html?idxno=7123217
"트리거, 김남길 액션 완성도에 글로벌 시청자 주목",https://www.joongangenews.com/news/articleView.html?idxno=441173
"[위클리오늘] SH, 한강버스 정식 운항 앞두고 호주 수상버스 운영 노하...",http://www.weeklytoday.com/news/articleView.html?idxno=715421
나주시 '특별재난지역' 추가 지정…복구사업 탄력 기대,https://www.newsworks.co.kr/news/articleView.html?idxno=806421
