title,description,link,nouns
"양평군, 극한 폭우 피해 입은 가평군에 '물맑은 양평수(水)' 지원","이어 &quot;군은 생활에 근간이 되는 수돗물의 안정적 공급 체계와 깨끗한 수질관리를 위해 최선을 다하고 있다&quot;며 &quot;이번 재난 상황을 계기로 인근 지역과 협업과 상생발전 강화에 더욱 힘쓰겠다&quot;고 덧붙였다. 한편, 가평군... ",https://www.tournews21.com/news/articleView.html?idxno=110136,"['군', '생활', '근간', '수돗물', '안정', '공급', '체계', '수질', '관리', '최선', '이번', '재난', '상황', '계기', '인근', '지역', '협업', '상생', '발전', '강화', '고', '가평군']"
산청 산사태 생존자들 '살아남은 자의 고통' 시달려,"24일 대한적십자사 경남재난심리회복지원센터에 따르면, 최근 집중호우로 피해를 입은 산청군을 비롯한 도내 각지에서 재난심리지원 활동이 진행 중이다. 센터는 산청군 산청읍 부리 등 수해 피해 지역 곳곳에 상담소를... ",https://n.news.naver.com/mnews/article/654/0000133249?sid=102,"['일', '대한적십자사', '경남', '재난', '심리', '회복', '지원', '센터', '집중', '호우', '피해', '산청군', '도내', '각지', '재난', '심리', '지원', '활동', '진행', '중', '센터', '산청군', '산청읍', '부리', '등', '수해', '피해', '지역', '곳곳', '상담소']"
"AIA생명, 집중호우 피해 복구 위한 다각적 지원 착수","특히 재난 지역으로 선포된 지역 내 피해 건은 긴급 접수로 분류되며, 평일 오후 4시 이전에 접수된 건에 대해서는 당일 보험금 지급이 가능하도록 운영한다. 보험료 납입 유예 및 보험계약대출 상환 유예를 희망하는... ",https://www.asiaa.co.kr/news/articleView.html?idxno=218825,"['재난', '지역', '선포', '지역', '내', '피해', '건', '긴급', '접수', '분류', '평일', '오후', '시', '이전', '접수', '건', '당일', '보험금', '지급', '가능', '운영', '보험료', '납입', '유예', '보험', '계약', '대출', '상환', '유예', '희망']"
"나주시의회, 집중호우로 침수된 농가 찾아 '구슬땀'","나주시 재난안전대책본부에 따르면 이번 폭우로 인한 전체 피해액은 약 171억 원이며, 이 중 약 88억 원이 농가 피해로 집계됐다. 이에 나주시의회 의원 및 직원 30여 명은 24일 문평명 산호리를 방문해 미나리 하우스 내... ",https://daily.hankooki.com/news/articleView.html?idxno=1248242,"['나주시', '재난', '안전', '대책', '본부', '이번', '폭우', '인', '전체', '피해액', '억', '원', '중', '억', '원', '농가', '피해', '집계', '이', '나주시', '의회', '의원', '직원', '명', '일', '문평명', '산호리', '방문', '미나리', '하우스']"
"광주시, 특별재난지역 지정 총력",빅터뉴스 최창봉 기자 광주시는 최근 집중호우로 인해 피해를 입은 자치구가 특별재난지역으로 지정돼 국고지원을 받을 수 있도록 ‘긴급지원반’을 구성·운영하는 등 현장 지원에 나섰다. 광주시는 특별재난지역... ,https://www.bigtanews.co.kr/article/view/big202507240026,"['빅터', '뉴스', '최창봉', '기자', '광주시', '최근', '집중', '호우', '인', '피해', '자치구', '특별', '재난', '지역', '지정', '국고', '지원', '수', '긴급', '지원', '반', '구성', '운영', '등', '현장', '지원', '광주시', '특별', '재난', '지역']"
"&quot;기후에너지부, 왜 나주여야 하는가&quot;","대한민국은 저성장과 인구절벽, 기후재난이라는 삼중위기 속에 놓여 있고 특히 지방소멸 위험지역은 100곳을... 또한 기후재난 실증 최적지임을 어필하며 &quot;영산강과 저지대 밀집지역으로 예전보다 늘어난 기후재난에 대한... ",http://www.bzeronews.com/news/articleView.html?idxno=719578,"['대한민국', '성장', '인구', '절벽', '기후', '재난', '삼중', '위기', '속', '지방', '소멸', '위험', '지역', '곳', '기후', '재난', '실증', '적지', '어필', '영산강', '지대', '밀집', '지역', '예전', '기후', '재난']"
"광주시,자치구 특별재난지역 지정에 총력",com 최근 집중호우로 피해를 입은 자치구가 특별재난지역으로 지정돼 국고지원을 받을 수 있도록 광주광역시가 '긴급지원반'을 꾸려 현장 지원에 나섰다. 24일 광주시에 따르면 광주는 지난 22일 특별재난지역 우선... ,http://www.namdonews.com/news/articleView.html?idxno=827594,"['최근', '집중', '호우', '피해', '자치구', '특별', '재난', '지역', '지정', '국고', '지원', '수', '광주광역시', '긴급', '지원', '반', '현장', '지원', '일', '광주시', '광주', '일', '특별', '재난', '지역']"
"광주시, 특별재난지역 지정 총력…“국고 지원 반드시 필요”",광주광역시(시장 강기정)는 집중호우로 큰 피해를 입은 지역의 특별재난지역 지정을 이끌어내기 위해 ‘긴급지원반’을 구성해 현장 대응에 나섰다고 24일 밝혔다. 광주시는 특별재난지역 1차 선포 대상에서는... ,https://www.viva100.com/article/20250724501187,"['광주광역시', '시장', '강기정', '집중', '호우', '피해', '지역', '특별', '재난', '지역', '지정', '긴급', '지원', '반', '구성', '현장', '대응', '일', '광주시', '특별', '재난', '지역', '차', '선포', '대상']"
최동익 전남도의원 “농축수산 시설…극한기상 대비 사전점검·제도 개...,"그는 축사 허가 시 침수방지 설비 설치를 의무화하는 제도 개선도 요구하며, “행정은 이제 피해 수습이 아니라 허가 단계부터 재난을 예방하는 체계로 전환해야 한다”고 주장했다. 최 의원은 “농어업인은 재난에 가장... ",https://n.news.naver.com/mnews/article/005/0001791772?sid=100,"['그', '축사', '허가', '시', '침수', '방지', '설비', '설치', '의무', '제도', '개선', '요구', '행정', '수습', '허가', '단계', '재난', '예방', '체계', '전환', '주장', '최', '의원', '농어업', '재난']"
공사 중 싱크홀 탐지하면 ‘빨간불’로 위험경고,한병용 서울시 재난안전실장은 “이번 신기술 현장 실증은 땅속 위험으로부터 시민의 안전을 지킨다는 서울시의 의지를 보여주는 것”이라며 “민간의 창의적 신기술을 적극 발굴하고 현장에 도입하는데 힘쓰겠다”고... ,https://n.news.naver.com/mnews/article/009/0005530562?sid=102,"['병용', '서울시', '재난', '안전', '실장', '이번', '기술', '현장', '실증', '땅속', '위험', '시민', '안전', '서울시', '의지', '것', '민간', '창의', '기술', '적극', '발굴', '현장', '도입']"
